Funder ID,Status,Company Location,Company Size,Annual Revenue,Year Incorporated,Industry Sector,Lease Term,Lease Amount,Equipment Type,Business Type,Previous Lease History,Application Date
4,approved,NB,1-50,3505093,2001,Healthcare & Wellness,2,72398.19561647432,,Corporation,Yes,2022-03-18
1,approved,PEI,1-50,4543562,2008,Landscaping & Agriculture,5,84497.90501885985,,Corporation,Yes,2015-08-21
2,approved,PEI,1-50,4543562,2008,Landscaping & Agriculture,5,84497.90501885985,,Corporation,Yes,2015-08-21
3,approved,PEI,1-50,4543562,2008,Landscaping & Agriculture,5,84497.90501885985,,Corporation,Yes,2015-08-21
4,approved,PEI,1-50,4543562,2008,Landscaping & Agriculture,5,84497.90501885985,,Corporation,Yes,2015-08-21
1,denied,NS,1-50,1125983,2003,Industrial & Material Handling,1,127344.9831811831,Other,Corporation,Yes,2022-09-08
2,denied,NS,1-50,1125983,2003,Industrial & Material Handling,1,127344.9831811831,Other,Corporation,Yes,2022-09-08
3,denied,NS,1-50,1125983,2003,Industrial & Material Handling,1,127344.9831811831,Other,Corporation,Yes,2022-09-08
4,approved,NS,1-50,1125983,2003,Industrial & Material Handling,1,127344.9831811831,Other,Corporation,Yes,2022-09-08
1,approved,PEI,1-50,2647679,1999,Landscaping & Agriculture,2,130410.78943931632,Heavy Machinery,Corporation,No,2024-01-22
2,approved,PEI,1-50,2647679,1999,Landscaping & Agriculture,2,130410.78943931632,Heavy Machinery,Corporation,No,2024-01-22
3,approved,PEI,1-50,2647679,1999,Landscaping & Agriculture,2,130410.78943931632,Heavy Machinery,Corporation,No,2024-01-22
4,approved,PEI,1-50,2647679,1999,Landscaping & Agriculture,2,130410.78943931632,Heavy Machinery,Corporation,No,2024-01-22
2,approved,NB,1-50,2271412,2005,Construction & Transportation,1,98135.24936457207,Technology,Corporation,Yes,2020-09-23
3,approved,NB,1-50,2271412,2005,Construction & Transportation,1,98135.24936457207,Technology,Corporation,Yes,2020-09-23
2,approved,PEI,51-100,8853525,2007,Construction & Transportation,5,109036.709253771,Software,Corporation,No,2019-06-21
2,approved,NS,1-50,4537166,2004,Landscaping & Agriculture,4,81635.9317889914,Technology,Corporation,Yes,2022-10-17
1,approved,NS,51-100,8268863,2011,Healthcare & Wellness,3,114202.8569880221,Medical Devices,Corporation,No,2017-11-10
3,approved,NS,51-100,8268863,2011,Healthcare & Wellness,3,114202.8569880221,Medical Devices,Corporation,No,2017-11-10
4,approved,NS,51-100,8268863,2011,Healthcare & Wellness,3,114202.8569880221,Medical Devices,Corporation,No,2017-11-10
1,approved,NB,100+,29091055,2012,Landscaping & Agriculture,1,79549.1123819108,Heavy Machinery,Corporation,Yes,2018-06-18
3,approved,NB,100+,29091055,2012,Landscaping & Agriculture,1,79549.1123819108,Heavy Machinery,Corporation,Yes,2018-06-18
4,denied,NB,100+,29091055,2012,Landscaping & Agriculture,1,79549.1123819108,Heavy Machinery,Corporation,Yes,2018-06-18
2,approved,NS,1-50,3591309,2022,Landscaping & Agriculture,3,124546.11268859477,Technology,Corporation,No,2017-07-24
3,approved,NS,1-50,3591309,2022,Landscaping & Agriculture,3,124546.11268859477,Technology,Corporation,No,2017-07-24
1,approved,NB,1-50,4037929,1996,Landscaping & Agriculture,3,153657.09442211813,Landscaping Tools,Corporation,Yes,2019-06-11
2,approved,NB,1-50,4037929,1996,Landscaping & Agriculture,3,153657.09442211813,Landscaping Tools,Corporation,Yes,2019-06-11
3,approved,NB,1-50,4037929,1996,Landscaping & Agriculture,3,153657.09442211813,Landscaping Tools,Corporation,Yes,2019-06-11
4,approved,NB,1-50,4037929,1996,Landscaping & Agriculture,3,153657.09442211813,Landscaping Tools,Corporation,Yes,2019-06-11
1,approved,NS,1-50,1818142,2004,Construction & Transportation,5,135275.67728763443,Construction Vehicles,Corporation,No,2015-05-22
3,approved,NS,1-50,1818142,2004,Construction & Transportation,5,135275.67728763443,Construction Vehicles,Corporation,No,2015-05-22
1,approved,NS,51-100,2267147,2005,Industrial & Material Handling,2,106027.25815481221,,Corporation,Yes,2015-09-24
3,approved,NS,51-100,2267147,2005,Industrial & Material Handling,2,106027.25815481221,,Corporation,Yes,2015-09-24
4,approved,NS,51-100,2267147,2005,Industrial & Material Handling,2,106027.25815481221,,Corporation,Yes,2015-09-24
1,approved,NB,1-50,1696408,2014,Service Industry,3,186060.0348871183,Service Machinery,Corporation,No,2015-04-22
2,approved,NB,1-50,1696408,2014,Service Industry,3,186060.0348871183,Service Machinery,Corporation,No,2015-04-22
3,approved,NB,1-50,1696408,2014,Service Industry,3,186060.0348871183,Service Machinery,Corporation,No,2015-04-22
4,approved,NB,1-50,1696408,2014,Service Industry,3,186060.0348871183,Service Machinery,Corporation,No,2015-04-22
1,approved,NB,1-50,2153556,2005,Healthcare & Wellness,2,144117.56344415303,,Corporation,Yes,2020-02-07
2,approved,NB,1-50,2153556,2005,Healthcare & Wellness,2,144117.56344415303,,Corporation,Yes,2020-02-07
3,approved,NB,1-50,2153556,2005,Healthcare & Wellness,2,144117.56344415303,,Corporation,Yes,2020-02-07
4,approved,NB,1-50,2153556,2005,Healthcare & Wellness,2,144117.56344415303,,Corporation,Yes,2020-02-07
1,approved,NS,51-100,3207399,2019,Industrial & Material Handling,1,113999.88004508421,Manufacturing Tools,Corporation,No,2019-06-20
3,approved,NS,51-100,3207399,2019,Industrial & Material Handling,1,113999.88004508421,Manufacturing Tools,Corporation,No,2019-06-20
4,approved,NS,51-100,3207399,2019,Industrial & Material Handling,1,113999.88004508421,Manufacturing Tools,Corporation,No,2019-06-20
2,approved,NS,1-50,4615643,1997,Healthcare & Wellness,4,39452.170809353236,Software,Corporation,Yes,2015-03-25
2,approved,NS,1-50,1343426,2009,Industrial & Material Handling,1,30119.992324492494,Compututing Systems,Corporation,Yes,2017-12-21
1,approved,NB,1-50,3468851,2004,Service Industry,2,191703.69273695612,Computers,Corporation,Yes,2015-01-05
2,approved,NB,1-50,3468851,2004,Service Industry,2,191703.69273695612,Computers,Corporation,Yes,2015-01-05
3,approved,NB,1-50,3468851,2004,Service Industry,2,191703.69273695612,Computers,Corporation,Yes,2015-01-05
4,approved,NB,1-50,3468851,2004,Service Industry,2,191703.69273695612,Computers,Corporation,Yes,2015-01-05
1,approved,NS,1-50,2902833,2011,Industrial & Material Handling,5,125554.36384825323,Heavy Tools,Corporation,Yes,2020-01-31
2,approved,NS,1-50,2902833,2011,Industrial & Material Handling,5,125554.36384825323,Heavy Tools,Corporation,Yes,2020-01-31
3,approved,NS,1-50,2902833,2011,Industrial & Material Handling,5,125554.36384825323,Heavy Tools,Corporation,Yes,2020-01-31
4,approved,NS,1-50,2902833,2011,Industrial & Material Handling,5,125554.36384825323,Heavy Tools,Corporation,Yes,2020-01-31
1,approved,NB,1-50,3984443,2009,Service Industry,2,158425.24825549588,Service Machinery,Corporation,Yes,2015-08-21
2,approved,NB,1-50,3984443,2009,Service Industry,2,158425.24825549588,Service Machinery,Corporation,Yes,2015-08-21
3,approved,NB,1-50,3984443,2009,Service Industry,2,158425.24825549588,Service Machinery,Corporation,Yes,2015-08-21
4,approved,NB,1-50,3984443,2009,Service Industry,2,158425.24825549588,Service Machinery,Corporation,Yes,2015-08-21
1,approved,PEI,1-50,1463490,2010,Service Industry,5,164667.30941324268,Other,Corporation,Yes,2016-08-24
2,denied,PEI,1-50,1463490,2010,Service Industry,5,164667.30941324268,Other,Corporation,Yes,2016-08-24
3,approved,PEI,1-50,1463490,2010,Service Industry,5,164667.30941324268,Other,Corporation,Yes,2016-08-24
4,denied,PEI,1-50,1463490,2010,Service Industry,5,164667.30941324268,Other,Corporation,Yes,2016-08-24
1,approved,NS,1-50,3673496,2005,Construction & Transportation,3,124146.53660580654,Construction Vehicles,Corporation,Yes,2016-06-27
3,approved,NS,1-50,3673496,2005,Construction & Transportation,3,124146.53660580654,Construction Vehicles,Corporation,Yes,2016-06-27
1,approved,NS,1-50,1679215,2005,Healthcare & Wellness,5,1000.0,,Corporation,No,2019-09-20
2,approved,NS,1-50,1679215,2005,Healthcare & Wellness,5,1000.0,,Corporation,No,2019-09-20
3,approved,NS,1-50,1679215,2005,Healthcare & Wellness,5,1000.0,,Corporation,No,2019-09-20
4,approved,NS,1-50,1679215,2005,Healthcare & Wellness,5,1000.0,,Corporation,No,2019-09-20
2,denied,NS,1-50,4043645,2022,Construction & Transportation,3,210238.25102110577,Software,Corporation,Yes,2018-03-12
1,approved,NS,51-100,5829292,2022,Construction & Transportation,5,190262.97940519793,Transport Machinery,Corporation,No,2015-03-12
1,approved,NS,1-50,3332327,2009,Construction & Transportation,4,88151.44422923043,Transport Machinery,Corporation,Yes,2016-12-07
3,approved,NS,1-50,3332327,2009,Construction & Transportation,4,88151.44422923043,Transport Machinery,Corporation,Yes,2016-12-07
1,approved,NB,100+,20064386,2003,Industrial & Material Handling,1,137773.2199442033,,Corporation,Yes,2018-09-13
3,approved,NB,100+,20064386,2003,Industrial & Material Handling,1,137773.2199442033,,Corporation,Yes,2018-09-13
4,approved,NB,100+,20064386,2003,Industrial & Material Handling,1,137773.2199442033,,Corporation,Yes,2018-09-13
1,approved,NB,1-50,2986723,2009,Service Industry,4,160170.34320954332,Computers,Corporation,Yes,2024-05-17
3,approved,NB,1-50,2986723,2009,Service Industry,4,160170.34320954332,Computers,Corporation,Yes,2024-05-17
4,approved,NB,1-50,2986723,2009,Service Industry,4,160170.34320954332,Computers,Corporation,Yes,2024-05-17
1,approved,PEI,1-50,1080995,2004,Service Industry,3,144508.7396081139,POS Systems,Corporation,No,2021-01-28
3,approved,PEI,1-50,1080995,2004,Service Industry,3,144508.7396081139,POS Systems,Corporation,No,2021-01-28
4,approved,PEI,1-50,1080995,2004,Service Industry,3,144508.7396081139,POS Systems,Corporation,No,2021-01-28
1,denied,NS,1-50,3692614,2002,Landscaping & Agriculture,2,250000.0,Landscaping Tools,Corporation,No,2017-08-25
2,approved,NS,1-50,3692614,2002,Landscaping & Agriculture,2,250000.0,Landscaping Tools,Corporation,No,2017-08-25
3,approved,NS,1-50,3692614,2002,Landscaping & Agriculture,2,250000.0,Landscaping Tools,Corporation,No,2017-08-25
4,approved,NS,1-50,3692614,2002,Landscaping & Agriculture,2,250000.0,Landscaping Tools,Corporation,No,2017-08-25
1,approved,NB,100+,40837325,1957,Healthcare & Wellness,3,161329.7982779686,,Corporation,Yes,2018-08-24
3,approved,NB,100+,40837325,1957,Healthcare & Wellness,3,161329.7982779686,,Corporation,Yes,2018-08-24
4,approved,NB,100+,40837325,1957,Healthcare & Wellness,3,161329.7982779686,,Corporation,Yes,2018-08-24
2,approved,PEI,1-50,2114082,2004,Construction & Transportation,4,120008.68845515102,Technology,Corporation,No,2016-03-11
2,approved,PEI,1-50,4396307,2010,Industrial & Material Handling,3,34975.720944891465,Compututing Systems,Corporation,No,2021-08-11
1,approved,PEI,1-50,4417425,2005,Construction & Transportation,3,162360.1661587978,Construction Vehicles,Corporation,Yes,2022-05-20
3,approved,PEI,1-50,4417425,2005,Construction & Transportation,3,162360.1661587978,Construction Vehicles,Corporation,Yes,2022-05-20
2,approved,NS,1-50,4814421,2006,Construction & Transportation,1,210165.48658067803,Technology,Corporation,Yes,2022-11-10
1,approved,NB,51-100,5388670,1991,Healthcare & Wellness,3,37389.62602083443,Computers,Corporation,No,2016-02-26
3,approved,NB,51-100,5388670,1991,Healthcare & Wellness,3,37389.62602083443,Computers,Corporation,No,2016-02-26
4,approved,NB,51-100,5388670,1991,Healthcare & Wellness,3,37389.62602083443,Computers,Corporation,No,2016-02-26
1,approved,NB,1-50,4542980,2004,Construction & Transportation,4,155675.92164121303,Safety Equipment,Corporation,No,2018-04-03
3,approved,NB,1-50,4542980,2004,Construction & Transportation,4,155675.92164121303,Safety Equipment,Corporation,No,2018-04-03
1,approved,PEI,1-50,2032846,2018,Industrial & Material Handling,3,85431.4803917265,Heavy Tools,Corporation,Yes,2018-03-15
2,approved,PEI,1-50,2032846,2018,Industrial & Material Handling,3,85431.4803917265,Heavy Tools,Corporation,Yes,2018-03-15
3,approved,PEI,1-50,2032846,2018,Industrial & Material Handling,3,85431.4803917265,Heavy Tools,Corporation,Yes,2018-03-15
4,approved,PEI,1-50,2032846,2018,Industrial & Material Handling,3,85431.4803917265,Heavy Tools,Corporation,Yes,2018-03-15
1,approved,NS,51-100,5922825,2016,Industrial & Material Handling,5,61335.72688398338,Heavy Tools,Corporation,Yes,2015-11-06
3,approved,NS,51-100,5922825,2016,Industrial & Material Handling,5,61335.72688398338,Heavy Tools,Corporation,Yes,2015-11-06
4,approved,NS,51-100,5922825,2016,Industrial & Material Handling,5,61335.72688398338,Heavy Tools,Corporation,Yes,2015-11-06
1,approved,NS,100+,43606847,1963,Service Industry,5,134385.8934305394,Service Machinery,Corporation,Yes,2017-08-18
3,approved,NS,100+,43606847,1963,Service Industry,5,134385.8934305394,Service Machinery,Corporation,Yes,2017-08-18
4,approved,NS,100+,43606847,1963,Service Industry,5,134385.8934305394,Service Machinery,Corporation,Yes,2017-08-18
1,approved,NS,1-50,1700091,1994,Service Industry,3,89761.21104324645,,Corporation,Yes,2019-08-27
2,approved,NS,1-50,1700091,1994,Service Industry,3,89761.21104324645,,Corporation,Yes,2019-08-27
3,approved,NS,1-50,1700091,1994,Service Industry,3,89761.21104324645,,Corporation,Yes,2019-08-27
4,approved,NS,1-50,1700091,1994,Service Industry,3,89761.21104324645,,Corporation,Yes,2019-08-27
1,approved,PEI,1-50,2927005,2018,Healthcare & Wellness,3,130757.51879633512,Computers,Corporation,No,2016-12-22
2,approved,PEI,1-50,2927005,2018,Healthcare & Wellness,3,130757.51879633512,Computers,Corporation,No,2016-12-22
3,approved,PEI,1-50,2927005,2018,Healthcare & Wellness,3,130757.51879633512,Computers,Corporation,No,2016-12-22
4,approved,PEI,1-50,2927005,2018,Healthcare & Wellness,3,130757.51879633512,Computers,Corporation,No,2016-12-22
1,approved,NS,51-100,2071135,2006,Healthcare & Wellness,2,64026.30989454715,Computers,Corporation,No,2019-01-25
3,approved,NS,51-100,2071135,2006,Healthcare & Wellness,2,64026.30989454715,Computers,Corporation,No,2019-01-25
4,approved,NS,51-100,2071135,2006,Healthcare & Wellness,2,64026.30989454715,Computers,Corporation,No,2019-01-25
1,approved,NS,1-50,1781259,2012,Service Industry,5,94491.13590160102,Other,Corporation,No,2016-12-23
3,approved,NS,1-50,1781259,2012,Service Industry,5,94491.13590160102,Other,Corporation,No,2016-12-23
4,approved,NS,1-50,1781259,2012,Service Industry,5,94491.13590160102,Other,Corporation,No,2016-12-23
1,approved,NB,1-50,3366207,2001,Construction & Transportation,3,33976.9360971273,Transport Machinery,Corporation,Yes,2018-02-01
3,approved,NB,1-50,3366207,2001,Construction & Transportation,3,33976.9360971273,Transport Machinery,Corporation,Yes,2018-02-01
1,approved,NS,1-50,1476518,2010,Landscaping & Agriculture,3,109112.32189890544,Heavy Machinery,Corporation,Yes,2021-09-09
3,approved,NS,1-50,1476518,2010,Landscaping & Agriculture,3,109112.32189890544,Heavy Machinery,Corporation,Yes,2021-09-09
4,approved,NS,1-50,1476518,2010,Landscaping & Agriculture,3,109112.32189890544,Heavy Machinery,Corporation,Yes,2021-09-09
1,denied,NS,1-50,1174627,2022,Construction & Transportation,3,196235.64388978397,Construction Vehicles,Corporation,No,2017-08-24
3,approved,NS,1-50,1174627,2022,Construction & Transportation,3,196235.64388978397,Construction Vehicles,Corporation,No,2017-08-24
1,approved,NS,100+,23424890,2014,Industrial & Material Handling,1,162478.0197601733,Material Handling Equipment,Corporation,Yes,2018-08-08
3,approved,NS,100+,23424890,2014,Industrial & Material Handling,1,162478.0197601733,Material Handling Equipment,Corporation,Yes,2018-08-08
4,approved,NS,100+,23424890,2014,Industrial & Material Handling,1,162478.0197601733,Material Handling Equipment,Corporation,Yes,2018-08-08
1,approved,NB,1-50,2008702,2002,Landscaping & Agriculture,3,98931.56892270334,Heavy Machinery,Corporation,Yes,2019-01-28
2,approved,NB,1-50,2008702,2002,Landscaping & Agriculture,3,98931.56892270334,Heavy Machinery,Corporation,Yes,2019-01-28
3,approved,NB,1-50,2008702,2002,Landscaping & Agriculture,3,98931.56892270334,Heavy Machinery,Corporation,Yes,2019-01-28
4,approved,NB,1-50,2008702,2002,Landscaping & Agriculture,3,98931.56892270334,Heavy Machinery,Corporation,Yes,2019-01-28
1,approved,NB,1-50,4877190,2006,Construction & Transportation,1,81947.88906541768,Transport Machinery,Corporation,No,2024-08-13
3,approved,NB,1-50,4877190,2006,Construction & Transportation,1,81947.88906541768,Transport Machinery,Corporation,No,2024-08-13
1,approved,NS,1-50,1683402,2005,Healthcare & Wellness,4,195762.9269887434,Medical Devices,Corporation,Yes,2024-08-23
2,approved,NS,1-50,1683402,2005,Healthcare & Wellness,4,195762.9269887434,Medical Devices,Corporation,Yes,2024-08-23
3,approved,NS,1-50,1683402,2005,Healthcare & Wellness,4,195762.9269887434,Medical Devices,Corporation,Yes,2024-08-23
4,denied,NS,1-50,1683402,2005,Healthcare & Wellness,4,195762.9269887434,Medical Devices,Corporation,Yes,2024-08-23
1,approved,NB,1-50,3970113,2016,Industrial & Material Handling,3,181153.58974240432,,Corporation,Yes,2018-04-20
3,approved,NB,1-50,3970113,2016,Industrial & Material Handling,3,181153.58974240432,,Corporation,Yes,2018-04-20
4,approved,NB,1-50,3970113,2016,Industrial & Material Handling,3,181153.58974240432,,Corporation,Yes,2018-04-20
1,approved,NS,1-50,3340299,2014,Construction & Transportation,1,130374.45173663879,Transport Machinery,Corporation,No,2015-06-10
3,approved,NS,1-50,3340299,2014,Construction & Transportation,1,130374.45173663879,Transport Machinery,Corporation,No,2015-06-10
1,approved,NB,1-50,3118543,2008,Healthcare & Wellness,2,115010.68291338727,Computers,Corporation,No,2023-10-27
2,approved,NB,1-50,3118543,2008,Healthcare & Wellness,2,115010.68291338727,Computers,Corporation,No,2023-10-27
3,approved,NB,1-50,3118543,2008,Healthcare & Wellness,2,115010.68291338727,Computers,Corporation,No,2023-10-27
4,approved,NB,1-50,3118543,2008,Healthcare & Wellness,2,115010.68291338727,Computers,Corporation,No,2023-10-27
2,approved,NS,51-100,2744021,1998,Construction & Transportation,1,125906.8199328784,Software,Corporation,Yes,2022-07-05
1,approved,PEI,100+,12505170,1987,Landscaping & Agriculture,5,115521.93762118153,Landscaping Tools,Corporation,No,2019-12-12
3,approved,PEI,100+,12505170,1987,Landscaping & Agriculture,5,115521.93762118153,Landscaping Tools,Corporation,No,2019-12-12
4,approved,PEI,100+,12505170,1987,Landscaping & Agriculture,5,115521.93762118153,Landscaping Tools,Corporation,No,2019-12-12
